,시군구코드,평균 접근 시간(분),정류장 밀도,철도역 밀도,발생량,1인당 대중교통 이용량,평균 환승 횟수,평균 환승 대기시간,대중교통 환승 이용 비율,환승 발생량,평균 통행거리(km),접근 가능 시설 수(개)
60,24030,39.27860926207207,16.4,0.0606428138265615,13889427,4038.710349621901,24.57960000000001,56409.0,3.1332999999999984,1886307.0,4.0,0.4818028299203641
61,24040,38.60088621363209,20.5,0.03269042170644,33704378,9612.169563773756,42.3008,111832.0,9.4099,6816782.0,5.0,0.4689522110765753
62,24050,45.54560389213481,15.9,0.0441793682350342,25013419,14039.98648360312,62.22089999999999,135909.0,8.496400000000003,3602745.0,6.0,0.2781556955628688
63,25010,27.60262858446169,33.0,0.0685400959561343,37773510,23725.169016276177,71.95499999999997,202108.0,12.695000000000007,8380220.0,7.0,1.2062916158153558
64,25020,23.886480090899187,26.7,0.0698324022346368,30307927,8442.55016836166,39.3289,136839.0,10.293499999999998,5533554.0,6.0,1.329905595422588
65,25030,33.97550924933714,27.1,0.0,54747305,11257.37143470359,64.08460000000002,213995.0,16.760599999999997,11512463.0,6.0,1.150754238473289
66,25040,46.773632692647695,34.3,0.0,39247468,18894.888367399228,103.8636,310443.0,21.74529999999997,9407150.0,9.0,0.7683964522052649
67,25050,29.37279660620135,17.1,0.0518403317781233,15486001,6267.229360492758,51.33560000000002,156302.0,10.7613,2935835.0,8.0,0.9626253877897016
68,26010,32.23694350531346,26.3,0.0,14758571,2616.9183917447667,16.561100000000003,82113.0,5.845800000000001,1870594.0,7.0,1.5726564332812554
69,26020,31.106417819269147,13.8,0.0217202432667245,31633858,11221.357225417758,31.52040000000001,134736.0,6.6473,3775487.0,8.0,2.031283485907807
70,26030,45.5796504878128,22.2,0.0,11534811,2732.0824021803983,6.8888000000000025,67319.0,2.3371,645912.0,9.0,0.9380437468686952
71,26040,37.87404229576386,17.4,0.03933910306845,11646958,8465.790086995505,34.1293,135448.0,9.325200000000002,1331970.0,9.0,0.8555134515287224
72,26310,51.6706617192502,18.8,0.0491964578550344,10504786,36377.75680564012,101.68370000000002,479126.0,12.667400000000002,516249.0,17.0,1.135167024012714
73,31010,29.267963893905936,6.5,0.0044738725841088,189316286,19148.93981304268,31.864600000000003,65958.0,7.594099999999997,43831404.0,11.0,1.753637090266921
74,31020,36.41215045103056,14.3,0.0,251283912,38694.70675776493,41.4114,56402.0,12.579299999999996,65889261.0,9.0,1.7397779467266865
75,31030,37.36018252873169,45.0,0.0,68784501,12083.625527464292,54.0142,117109.0,18.264700000000005,8682938.0,12.0,0.9506719643419927
76,31040,33.12394884447468,20.4,0.0242836328314715,138588958,14885.348737509885,32.15290000000001,49011.0,8.435400000000001,40904004.0,8.0,1.2544890329865863
77,31050,40.39518056164181,12.9,0.0,166656054,11422.81817199279,88.42930000000003,133102.0,25.110000000000014,43402781.0,8.0,0.9716428419598258
78,31060,35.7706226288182,54.4,0.0848176420695504,60513141,8319.0262250461,47.78710000000001,71667.0,13.987100000000002,13847105.0,9.0,1.2479877001199724
79,31070,34.77926047163086,22.6,0.0261814373609111,49091966,38080.15913490159,233.9843999999999,547241.0,19.4217,9516240.0,15.0,2.034718800847188
80,31080,55.23538859173621,41.0,0.0,8325926,8987.671117228318,31.057999999999986,85508.0,2.987399999999999,696273.0,22.0,1.12246665280712
81,31090,45.606450608972445,13.8,0.0,78424292,19499.27375682297,56.39319999999999,101763.0,8.1034,17252535.0,10.0,1.2727124072716989
82,31100,36.57126599842233,16.5,0.0066229551625935,158088951,39434.47240792615,168.11110000000005,300103.0,23.95760000000002,33536830.0,11.0,1.1515709065318969
83,31110,42.3894455928077,37.8,0.0,23468800,10392.911800686945,23.1207,41334.0,6.019900000000002,5041771.0,13.0,1.710235839269659
84,31120,32.50162124937213,45.0,0.0,28467745,5072.956328558178,34.38210000000001,57387.0,10.760199999999998,5934368.0,11.0,1.069123915054365
85,31130,39.76732611298362,37.2,0.0201653559185319,79834247,49947.03224773106,248.88069999999985,534475.0,39.97490000000002,15487402.0,15.0,0.5013218279683016
86,31140,27.33557364174467,29.2,0.0668896321070234,23896628,4442.065738867394,47.495700000000014,114625.0,6.303300000000001,5261658.0,17.0,1.7652414993479932
87,31150,53.45963135090896,30.7,0.0,49321361,13280.415726158291,160.2219000000001,325051.0,26.514399999999995,9963604.0,15.0,0.8200971670070205
88,31160,37.42571275574174,45.9,0.0,58909555,8213.046764223303,39.5744,69668.0,10.369499999999997,15405937.0,12.0,1.5895443288127509
89,31170,42.43136103590922,49.5,0.0,20694437,7037.95827367202,57.7192,90062.0,10.4038,4647211.0,11.0,1.2004605237608257
90,31180,50.3524385054552,32.8,0.0,34726256,9789.561499606782,66.1501,128763.0,9.027899999999995,3775630.0,12.0,0.7516937559957753
91,31190,54.52896108788844,16.6,0.0,121073919,66555.61314763266,219.98809999999995,477651.0,14.30699999999999,24842830.0,12.0,0.8542817686264874
92,31200,78.53759607289247,58.2,0.0,44191255,59835.17571642433,325.4758999999997,710009.0,31.17519999999999,9183325.0,17.0,0.2997083390088794
93,31210,45.80155173222473,80.9,0.0,10727968,22289.83653020412,133.73140000000004,330019.0,11.516000000000007,1913336.0,22.0,0.7222613472202805
94,31220,72.31647227407554,57.2,0.0,10797623,31616.493898421308,175.20600000000007,341024.0,12.181299999999997,1181094.0,14.0,1.059301462723286
95,31230,64.84462466223644,43.6,0.0,45830744,26074.6891867854,182.2845,391853.0,21.699100000000023,7414429.0,16.0,0.4179675697999195
96,31240,51.02355437180584,36.6,0.0,70924512,52621.34915315956,472.90250000000015,954683.0,47.17459999999997,14460195.0,16.0,0.8336424091010637
97,31250,51.4593243417562,92.0,0.0,36572033,40273.65047763672,232.11610000000005,417257.0,23.285499999999985,7503661.0,14.0,0.953684672436427
98,31260,62.66439077917147,40.8,0.0,29919396,34659.59744359267,243.1103,427265.0,26.713100000000008,8478210.0,16.0,0.6318491219852804
99,31270,71.20094304485288,83.0,0.0,8923101,51488988.0738416,183.84509999999992,395918.0,13.885199999999996,1183519.0,18.0,0.9358924348652228
100,31280,69.64447229262956,164.7,0.0,4443543,23621.71177332013,91.14410000000004,256751.0,6.954399999999996,534963.0,25.0,0.5667638349065334
101,31350,87.55800022581698,69.6,0.0,2284036,37236.421842500735,118.89160000000004,162434.0,5.659600000000001,158128.0,28.0,1.0885988138778826
102,31370,67.89280003853364,105.7,0.0,3856693,52173.2527723476,156.02130000000005,237545.0,7.014400000000004,452952.0,34.0,0.707534121850124
103,31380,77.55036156246639,207.9,0.0,5137146,36007.35799296471,121.09750000000004,272892.0,7.5546,279503.0,33.0,0.2976730769230769
104,32010,44.01546935740293,39.2,0.0,14930879,58196.99306558636,55.79829999999998,279335.0,7.755799999999998,1688792.0,25.0,1.2887267933600055
105,32020,49.82614911192519,32.8,0.0854457419538593,12734477,30586.797435330027,176.4359000000003,621071.0,16.719199999999994,1512754.0,8.0,0.7670375115671632
106,32030,52.86695929735735,33.7,0.0811359026369168,7722748,38379.04019494735,102.57790000000008,480495.0,11.781700000000008,998820.0,9.0,1.1494527901088578
107,32040,36.66331041924081,12.9,0.0818665575112566,2098437,4269.327791097578,20.0739,106636.0,3.5699,120176.0,7.0,1.058459217177682
108,32050,30.406215408449214,17.0,0.2690582959641255,686330,5381.116613929364,3.989400000000001,86331.0,0.8873999999999997,27844.0,16.0,0.8064486711829078
