,시군구코드,교통인프라지수_norm
43,22030,-0.08520648964137532
89,31170,-0.09559299849992584
44,22040,-0.10885850101908799
26,21020,-0.1311744368321613
38,21140,-0.14890406434237752
59,24020,-0.1769125259385341
184,37010,-0.1779978080684461
67,25050,-0.17952580019891348
36,21120,-0.18316950874263277
58,24010,-0.19240348869323914
90,31180,-0.19509011742110993
163,36020,-0.20483924828761757
68,26010,-0.21613038766724563
62,24050,-0.21911933523388205
136,34040,-0.2434839168585337
207,38030,-0.24434380369018083
148,35010,-0.24559431646360774
104,32010,-0.24604264395843153
164,36030,-0.2533148152698634
213,38100,-0.2571334243323605
99,31270,-0.2598280947555727
71,26040,-0.2739167022601567
150,35030,-0.28281558569317444
48,22310,-0.2831619510728924
72,26310,-0.2845835847180173
210,38070,-0.28861199228262385
106,32030,-0.2886422467377839
40,21310,-0.29347964200268273
149,35020,-0.3069507192041067
28,21040,-0.3095183636514955
105,32020,-0.31224669080976913
188,37050,-0.314059624888862
226,39020,-0.32541159549757226
93,31210,-0.3319458035926608
193,37100,-0.3323361036882948
60,24030,-0.33341612266780213
166,36060,-0.3364232536439718
162,36010,-0.3376319321189165
109,32060,-0.3393070488905
123,33030,-0.348369348775343
94,31220,-0.35673351450051227
80,31080,-0.35813264965422514
70,26030,-0.36491835864045036
185,37020,-0.3683786924736335
110,32070,-0.3715441350511795
50,23020,-0.38175434491457294
208,38050,-0.3900852057640819
138,34060,-0.39560843608183127
107,32040,-0.39586185485147535
120,32400,-0.40152386153790554
116,32360,-0.4127377137423611
187,37040,-0.4164411532845872
137,34050,-0.4278903785799588
119,32390,-0.43335710768552177
122,33020,-0.4334982800324121
100,31280,-0.4361234222276095
101,31350,-0.4364880974949786
114,32340,-0.4371803679521569
168,36320,-0.4375205775555489
140,34080,-0.4375714615302964
176,36410,-0.43824301327347515
121,32410,-0.4407110999869422
142,34330,-0.44089675399082967
108,32050,-0.44140765592129017
128,33350,-0.4432969685414099
186,37030,-0.44367132302003387
205,37420,-0.4461438041035417
115,32350,-0.4466114952192145
118,32380,-0.4484032917625827
146,34370,-0.45015840607157154
134,34020,-0.45115033594129694
179,36440,-0.4522004315421912
190,37070,-0.45494411049392
145,34360,-0.45579247056980843
174,36390,-0.45584309521308747
111,32310,-0.45673565798947585
165,36040,-0.4573267211414089
112,32320,-0.45933264633296367
113,32330,-0.46051622891607175
192,37090,-0.46117925206709653
177,36420,-0.46282680900335027
154,35310,-0.46489516963855193
135,34030,-0.46517958611400395
125,33320,-0.4654756035366517
132,33390,-0.465811386189641
56,23310,-0.466619673469441
129,33360,-0.46663663387999177
209,38060,-0.468725862254497
178,36430,-0.47199125925856816
147,34380,-0.4723861824938213
131,33380,-0.47452251788594985
102,31370,-0.47945706346952
130,33370,-0.4797925864424823
152,35050,-0.47992843664008056
57,23320,-0.48199283494323447
171,36360,-0.4829683679795474
117,32370,-0.4887671377542987
199,37360,-0.48956795841790746
175,36400,-0.4897476404546554
141,34310,-0.49085073053434447
172,36370,-0.49466236250827605
103,31380,-0.49601417349179616
173,36380,-0.4961530438374617
151,35040,-0.49636168486443505
191,37080,-0.4970519706323099
189,37060,-0.4989814312467316
195,37320,-0.5015925577198997
200,37370,-0.5017282082469802
223,38390,-0.5037197028145204
203,37400,-0.5037782153836572
139,34070,-0.5046458460999634
198,37350,-0.5047291282873396
194,37310,-0.5077053731757575
155,35320,-0.5106282075048464
161,35380,-0.5111382364079252
143,34340,-0.5132674103942122
202,37390,-0.5157343680787118
170,36350,-0.5182801072539672
211,38080,-0.5193853025045826
201,37380,-0.5212553745921412
196,37330,-0.5228004303315443
160,35370,-0.523459564233398
126,33330,-0.5234606105121931
221,38370,-0.5266726743128758
222,38380,-0.5270811505720565
153,35060,-0.5291598508853524
144,34350,-0.5316389011249114
158,35350,-0.5321879103281016
169,36330,-0.5340585111899583
167,36310,-0.5349683057687554
217,38330,-0.5394509078460479
218,38340,-0.5426007095661676
224,38400,-0.5478804465204796
220,38360,-0.5526106224595355
206,37430,-0.553946692663702
180,36450,-0.5544491139676542
215,38310,-0.5570026863563159
216,38320,-0.55910800536854
204,37410,-0.5607917975770992
181,36460,-0.5643035905481487
156,35330,-0.5710052983512912
212,38090,-0.5727471368734125
159,35360,-0.5729936357473204
157,35340,-0.5781933494771061
219,38350,-0.5832681234604777
183,36480,-0.5869014679015796
127,33340,-0.6160624667180764
197,37340,-0.6172469649149586
182,36470,-0.6180025814420529
