region_code,car_count,non_car_count,total_count,car_ratio
36380,1,1,2,0.5
36390,10,14,24,0.4166666666666667
36400,9,6,15,0.6
36410,4,0,4,1.0
36420,6,6,12,0.5
36430,4,1,5,0.8
36440,8,2,10,0.8
36450,56,0,56,1.0
36460,15,24,39,0.38461538461538464
36470,41,2,43,0.9534883720930233
36480,19,8,27,0.7037037037037037
37010,153,58,211,0.7251184834123223
37020,356,67,423,0.8416075650118203
37030,12,0,12,1.0
37040,62,13,75,0.8266666666666667
37050,19,6,25,0.76
37060,27,7,34,0.7941176470588235
37070,8,6,14,0.5714285714285714
37080,9,1,10,0.9
37090,48,4,52,0.9230769230769231
37100,11,5,16,0.6875
37310,10,1,11,0.9090909090909091
37320,9,1,10,0.9
37330,30,6,36,0.8333333333333334
37340,5,0,5,1.0
37350,120,13,133,0.9022556390977443
37360,34,0,34,1.0
37370,1,0,1,1.0
37380,5,1,6,0.8333333333333334
37390,2,2,4,0.5
37400,5,1,6,0.8333333333333334
37410,13,4,17,0.7647058823529411
37420,60,8,68,0.8823529411764706
37430,15,44,59,0.2542372881355932
38030,35,15,50,0.7
38050,104,45,149,0.697986577181208
38060,29,7,36,0.8055555555555556
38070,5,14,19,0.2631578947368421
38080,51,7,58,0.8793103448275862
38090,93,32,125,0.744
38100,23,5,28,0.8214285714285714
38110,25,13,38,0.6578947368421053
38310,0,1,1,0.0
38320,8,0,8,1.0
38330,7,2,9,0.7777777777777778
38340,16,1,17,0.9411764705882353
38350,101,11,112,0.9017857142857143
38360,60,7,67,0.8955223880597015
38370,21,2,23,0.9130434782608695
38380,15,2,17,0.8823529411764706
38390,19,2,21,0.9047619047619048
38400,18,3,21,0.8571428571428571
39010,93,939,1032,0.09011627906976744
39020,118,888,1006,0.1172962226640159
