방문 지역,지출 비용,철도비,도로비,식음료비,음식점비,쇼핑비,여행 일수,숙박비,교통비,여행 활동비,자가용 의존도,교통인프라지수
11010,188737.5,16338.157894736842,12750.0,15074.626865671642,58697.26865671642,29552.238805970148,0.5671641791044776,19417.910447761195,46732.89473684211,8432.835820895523,0.1782178217821782,1.4235969027844209
11020,214134.13953488372,20353.488372093023,13018.60465116279,16385.714285714286,55505.77142857143,66565.71428571429,0.2571428571428571,9142.857142857143,58441.88372093023,4571.428571428572,0.3275862068965517,1.696776815001285
11030,211063.36,27440.0,5608.0,5456.521739130435,75782.60869565218,11469.565217391304,0.7391304347826086,23086.956521739132,64528.04,9434.782608695652,0.3548387096774194,1.3288577919590008
11040,86000.0,5375.0,12750.0,31200.0,79000.0,0.0,0.2,0.0,33125.0,3000.0,0.2777777777777778,0.7779076025985269
11050,157083.33333333334,6500.0,8000.0,13200.0,75400.0,5000.0,0.4,14000.0,60333.333333333336,4400.0,0.1,1.0651239589602055
11060,185111.16666666666,0.0,11666.666666666666,14666.666666666666,61666.666666666664,23333.333333333332,0.5,166.66666666666666,36666.833333333336,26000.0,0.6666666666666666,1.5460607636235646
11070,43000.0,0.0,3000.0,35000.0,70000.0,12500.0,0.0,0.0,55500.0,10000.0,0.0,1.085279383499549
11090,291500.0,5000.0,0.0,35000.0,160666.66666666666,13333.333333333334,1.3333333333333333,66666.66666666667,66000.0,13333.333333333334,0.4285714285714285,1.1955958440083208
11100,140515.18181818182,47181.818181818184,7363.636363636364,16900.0,54300.1,3000.0,0.6,0.0,68545.45454545454,500.0,0.2307692307692307,0.68973953551644
11110,208944.44444444444,42222.22222222222,11111.111111111111,714.2857142857143,10142.857142857143,74857.14285714286,1.0,0.0,59555.555555555555,2000.0,0.4,1.5213300893495452
11120,37187.5,0.0,3250.0,4000.0,38785.71428571428,0.0,0.0,0.0,17625.0,857.1428571428571,0.4444444444444444,1.5434514684089808
11130,180000.0,4000.0,30000.0,10000.0,105000.0,26500.0,1.0,60000.0,34000.0,22500.0,0.0,1.3998135173428587
11140,132115.7142857143,11714.257142857143,11542.885714285714,8637.931034482759,46137.93103448276,23517.206896551725,0.3103448275862069,15172.448275862069,40714.25714285715,9896.551724137931,0.1063829787234042,1.9161818937032689
11150,95000.0,0.0,40000.0,,,,,,40000.0,,0.0,0.7893897875359193
11160,352222.22222222225,37777.77777777778,9444.444444444445,8777.777777777777,105555.55555555556,95777.77777777778,0.8888888888888888,58888.88888888889,101333.33333333333,16000.0,0.4166666666666667,1.5856979349999158
11170,78750.0,5000.0,16250.0,1666.6666666666667,45000.0,0.0,0.0,0.0,21250.0,16666.666666666668,0.0,2.3688150120166926
11180,133333.33333333334,0.0,13333.333333333334,10000.0,0.0,0.0,0.5,0.0,40000.0,0.0,0.5,0.56720494843978
11190,114432.69230769231,17450.0,5376.923076923077,3250.0,35863.63636363636,15227.272727272728,0.22727272727272727,0.0,31288.46153846154,3500.0,0.1935483870967742,2.060629932080763
11200,253000.0,20000.0,0.0,0.0,250000.0,0.0,2.0,120000.0,112000.0,0.0,0.0,1.9210329998904847
11210,119071.42857142857,20321.428571428572,6428.571428571428,4375.0,62250.0,11666.666666666666,0.4166666666666667,13333.333333333334,36964.28571428572,1833.3333333333333,0.4666666666666667,2.5299837823603646
11220,173272.72727272726,9454.545454545454,21818.18181818182,6888.888888888889,59777.77777777778,47777.77777777778,0.3333333333333333,2222.222222222222,35363.63636363636,4111.111111111111,0.1904761904761904,2.971520757556118
11230,216926.19642857142,9260.714285714286,9832.142857142857,3452.3809523809523,67238.21428571429,38642.857142857145,0.40476190476190477,24642.833333333332,44164.25,4547.619047619048,0.2771084337349397,3.2990274541301248
11240,191562.54545454544,17131.81818181818,7472.727272727273,12986.363636363636,61704.5,22159.136363636364,0.45454545454545453,34545.454545454544,45081.90909090909,33113.681818181816,0.22,2.7370196672835045
11250,123333.33333333333,1666.6666666666667,26666.666666666668,10000.0,42500.0,50000.0,0.0,0.0,40000.0,0.0,0.0,0.7289159741085366
21010,320940.6538461539,13019.23076923077,2826.923076923077,47592.0,182204.10204081633,38571.42857142857,1.1224489795918366,117755.08163265306,90057.30769230769,9244.897959183674,0.6333333333333333,0.0370449773483811
21020,313800.37209302327,25325.581395348836,8720.93023255814,19500.0,172073.1463414634,11219.512195121952,1.4634146341463414,62926.80487804878,72825.58139534884,14024.390243902439,0.4897959183673469,-0.1311744368321613
21030,403000.0,20500.0,26500.0,11000.0,205000.0,9000.0,1.5,73500.0,89500.0,10000.0,0.4,0.0555316841634632
21040,258271.92105263157,15868.421052631578,5394.736842105263,28800.057142857142,139371.42857142858,14571.42857142857,1.0285714285714285,70857.14285714286,71920.94736842105,20714.285714285714,0.6222222222222222,-0.3095183636514955
21050,267605.2631578947,15868.421052631578,12368.421052631578,16750.0,125833.33333333333,19166.666666666668,1.1666666666666667,94166.66666666667,60184.21052631579,53416.666666666664,0.5333333333333333,0.9762718741100328
