시군구코드,교통인프라지수_norm
31020,3.429257435569583
11230,3.2990274541301248
11220,2.971520757556118
11240,2.7370196672835045
11210,2.5299837823603646
11170,2.3688150120166926
31050,2.1736242667235555
31010,2.163644458628108
11190,2.060629932080763
31040,1.9488478574255503
11200,1.9210329998904847
11140,1.9161818937032689
11020,1.696776815001285
11080,1.6918238039214468
11160,1.5856979349999158
31100,1.5773069320226298
11060,1.5460607636235646
11120,1.5434514684089808
11110,1.5213300893495452
11010,1.4235969027844209
11130,1.3998135173428587
11030,1.3288577919590008
11090,1.1955958440083208
11070,1.085279383499549
11050,1.0651239589602055
21050,0.9762718741100328
31190,0.9428803680100428
23060,0.896899605965719
11150,0.7893897875359193
11040,0.7779076025985269
11250,0.7289159741085366
11100,0.68973953551644
31090,0.6220483945692524
31130,0.600414392492393
23080,0.5949502716165652
11180,0.56720494843978
31160,0.5546709598720447
23070,0.480812491582159
31060,0.4689509252510561
31240,0.4533601620910786
21150,0.3931807179052298
25030,0.3701280491951797
21100,0.3384657521959706
23050,0.2787231108166244
31150,0.2509066069756802
25040,0.2403830544256639
21060,0.2372805097018639
31070,0.2331321958335868
38110,0.2294465973888941
31030,0.2012029734177191
23040,0.1976127036752862
22020,0.1951616634520033
21110,0.1909022845600757
22070,0.1897247876760582
21080,0.1816601025573058
25010,0.1625514483579749
21090,0.1436034291515465
21130,0.091929532433531
31200,0.0892252082960331
39010,0.0883869180370829
31260,0.0868647689609029
22060,0.0748953242658574
21030,0.0555316841634632
21010,0.0370449773483811
31250,0.0334389048732359
22010,0.0304960905654458
34010,0.0234885772516521
21070,0.0156416193355425
31230,0.0132883263458851
22050,0.012238151411627
25020,0.0060060473295821
24040,-0.0052265685931747
33040,-0.0089971275186821
31120,-0.0158763142575499
23010,-0.0251774287142664
31110,-0.0276686495040613
31140,-0.0433887483804327
26020,-0.0465072317557089
22030,-0.0852064896413753
31170,-0.0955929984999258
22040,-0.1088585010190879
21020,-0.1311744368321613
21140,-0.1489040643423775
24020,-0.1769125259385341
37010,-0.1779978080684461
25050,-0.1795258001989134
21120,-0.1831695087426327
24010,-0.1924034886932391
31180,-0.1950901174211099
36020,-0.2048392482876175
26010,-0.2161303876672456
24050,-0.219119335233882
34040,-0.2434839168585337
38030,-0.2443438036901808
35010,-0.2455943164636077
32010,-0.2460426439584315
36030,-0.2533148152698634
38100,-0.2571334243323605
31270,-0.2598280947555727
26040,-0.2739167022601567
35030,-0.2828155856931744
22310,-0.2831619510728924
26310,-0.2845835847180173
38070,-0.2886119922826238
32030,-0.2886422467377839
21310,-0.2934796420026827
35020,-0.3069507192041067
21040,-0.3095183636514955
32020,-0.3122466908097691
37050,-0.314059624888862
39020,-0.3254115954975722
31210,-0.3319458035926608
37100,-0.3323361036882948
24030,-0.3334161226678021
36060,-0.3364232536439718
36010,-0.3376319321189165
32060,-0.3393070488905
33030,-0.348369348775343
31220,-0.3567335145005122
31080,-0.3581326496542251
26030,-0.3649183586404503
37020,-0.3683786924736335
32070,-0.3715441350511795
23020,-0.3817543449145729
38050,-0.3900852057640819
34060,-0.3956084360818312
32040,-0.3958618548514753
32400,-0.4015238615379055
32360,-0.4127377137423611
37040,-0.4164411532845872
34050,-0.4278903785799588
32390,-0.4333571076855217
33020,-0.4334982800324121
31280,-0.4361234222276095
31350,-0.4364880974949786
32340,-0.4371803679521569
36320,-0.4375205775555489
34080,-0.4375714615302964
36410,-0.4382430132734751
32410,-0.4407110999869422
34330,-0.4408967539908296
32050,-0.4414076559212901
33350,-0.4432969685414099
37030,-0.4436713230200338
37420,-0.4461438041035417
32350,-0.4466114952192145
32380,-0.4484032917625827
34370,-0.4501584060715715
34020,-0.4511503359412969
36440,-0.4522004315421912
37070,-0.45494411049392
34360,-0.4557924705698084
36390,-0.4558430952130874
32310,-0.4567356579894758
36040,-0.4573267211414089
32320,-0.4593326463329636
32330,-0.4605162289160717
37090,-0.4611792520670965
36420,-0.4628268090033502
35310,-0.4648951696385519
34030,-0.4651795861140039
33320,-0.4654756035366517
33390,-0.465811386189641
23310,-0.466619673469441
33360,-0.4666366338799917
38060,-0.468725862254497
36430,-0.4719912592585681
34380,-0.4723861824938213
33380,-0.4745225178859498
31370,-0.47945706346952
33370,-0.4797925864424823
35050,-0.4799284366400805
23320,-0.4819928349432344
36360,-0.4829683679795474
32370,-0.4887671377542987
37360,-0.4895679584179074
36400,-0.4897476404546554
34310,-0.4908507305343444
36370,-0.494662362508276
31380,-0.4960141734917961
36380,-0.4961530438374617
35040,-0.496361684864435
37080,-0.4970519706323099
37060,-0.4989814312467316
